ID,Name,Simple Trading Strategy,QC Sharpe: As at end of July 2021,QC Max Drawdown: As at end of July 2021
1,Asset Class Trend-Following,"The investment universe consists of 5 ETFs (SPY – US stocks, EFA – foreign stocks, BND – bonds, VNQ – REITs, GSG – commodities), and portfolio is equally weighted. Hold each asset class ETF only when it is over its ten month Simple Moving Average, otherwise stay in cash.",0.57,32.00%
2,Momentum Asset Allocation Strategy,"The investment universe consists of 5 ETFs (SPY – US stocks, EFA – foreign stocks, BND – bonds, VNQ – REITs, GSG – commodities). Pick 3 ETFs with the strongest 12-month momentum into your portfolio and weight them equally. Hold for one month and then rebalance.",0.368,47.50%
3,Sector Momentum – Rotational System,Use ten sector ETFs. Pick 3 ETFs with the strongest 12-month momentum into your portfolio and weight them equally. Hold them for one month and then rebalance.,0.459,48.80%
5,FX Carry Trade,Create an investment universe consisting of several currencies (10-20). Go long three currencies with the highest central bank prime rates and go short three currencies with the lowest central bank prime rates. The cash not used as the margin is invested in overnight rates. The strategy is rebalanced monthly.,0.292,29.50%
7,Low Volatility Factor Effect in Stocks,"The investment universe consists of global large-cap stocks (or US large-cap stocks). At the end of each month, the investor constructs equally weighted decile portfolios by ranking the stocks on the past three-year volatility of weekly returns. The investor goes long stocks in the top decile (stocks with the lowest volatility).",0.823,46.90%
8,Currency Momentum Factor,Create an investment universe consisting of several currencies (10-20). Go long three currencies with the highest 12-month momentum against USD and go short three currencies with the lowest 12-month momentum against USD. Cash not used as margin invest on overnight rates. Rebalance monthly.,-0.018,40.60%
9,Currency Value Factor – PPP Strategy,Create an investment universe consisting of several currencies (10-20). Use the latest OECD Purchasing Power Parity figure to assess the fair value of each currency versus USD in the month of publishing and then use monthly CPI changes and exchange rate changes to create fair PPP value for the month prior to the current month. Go long three currencies that are the most undervalued (lowest PPP fair value figure) and go short three currencies that are the most overvalued (highest PPP fair value figure). Invest cash not used as margin on overnight rates. Rebalance quarterly or monthly.,0.037,40.70%
12,Pairs Trading with Stocks,"The investment universe consists of stocks from NYSE, AMEX, and NASDAQ, while illiquid stocks are removed from the investment universe. Cumulative total return index is then created for each stock (dividends included), and the starting price during the formation period is set to $1 (price normalization). Pairs are formed over twelve months (formation period) and are then traded in the next six-month period (trading period). The matching partner for each stock is found by looking for the security that minimizes the sum of squared deviations between two normalized price series. Top 20 pairs with the smallest historical distance measure are then traded, and a long-short position is opened when pair prices have diverged by two standard deviations, and the position is closed when prices revert.",0.639,30.80%
13,Short Term Reversal Effect in Stocks,The investment universe consists of the 100 biggest companies by market capitalization. The investor goes long on the ten stocks with the lowest performance in the previous week and goes short on the ten stocks with the greatest performance of the prior month. The portfolio is rebalanced weekly.,0.941,40.00%
14,Momentum Factor Effect in Stocks,"The investment universe consists of NYSE, AMEX, and NASDAQ stocks. We define momentum as the past 12-month return, skipping the most recent month’s return (to avoid microstructure and liquidity biases). To capture “momentum”, UMD portfolio goes long stocks that have high relative past one-year returns and short stocks that have low relative past one-year returns.",0,82.40%
15,Momentum Factor Effect in Country Equity Indexes,"The investment universe consists of ETFs (funds) which invest in individual countries’ equity indexes. The top 5 countries with the best X – month (where X depends on investors choice, studies show X to be best as 10-12) momentum are chosen as an investment, and portfolio is rebalanced once in a month.",0.322,63.60%
16,Reversal Effect in International Equity ETFs,The investment universe consists of 16 ETFs (funds) that invest in individual countries’ equity indexes. Go long on the bottom four countries with the worst 36 – month return and go short on the top 4 countries with the best 36-month return. Rebalance every three years.,-0.139,79.70%
20,Volatility Risk Premium Effect,"Each month, at-the-money straddle, with one month until maturity, is sold at the bid price with a 5% option premium, and an offsetting 15% out-of-the-money puts are bought (at the ask price) as insurance against a market crash. The remaining cash and received option premium are invested in the index. The strategy is rebalanced monthly.",0.934,30.00%
21,Momentum Effect in Commodities,Create a universe of tradable commodity futures. Rank futures performance for each commodity for the last 12 months and divide them into quintiles. Go long on the quintile with the highest momentum and go short on the quintile with the lowest momentum. Rebalance each month.,0.181,70.70%
22,Term Structure Effect in Commodities,This simple strategy buys each month the 20% of commodities with the highest roll-returns and shorts the 20% of commodities with the lowest roll-returns and holds the long-short positions for one month. The contracts in each quintile are equally-weighted. The investment universe is all commodity futures contracts.,0.442,38.70%
25,Size Factor – Small Capitalization Stocks Premium,"The investment universe contains all NYSE, AMEX, and NASDAQ stocks. Decile portfolios are formed based on the market capitalization of stocks. To capture “size” effect, SMB portfolio goes long small stocks (lowest decile) and short big stocks (highest decile).",0.866,37.30%
26,Value (Book-to-Market) Factor,"The investment universe contains all NYSE, AMEX, and NASDAQ stocks. To represent “value” investing, HML portfolio goes long high book-to-price stocks and short, low book-to-price stocks. In this strategy, we show the results for regular HML which is simply the average of the portfolio returns of HML small (which goes long cheap and short expensive only among small stocks) and HML large (which goes long cheap and short expensive only among large caps). The portfolio is equal-weighted and rebalanced monthly.",0.528,63.10%
28,Value and Momentum Factors across Asset Classes,"Create an investment universe containing investable asset classes (could be US large-cap, mid-cap stocks, US REITS, UK, Japan, Emerging market stocks, US treasuries, US Investment grade bonds, US high yield bonds, Germany bonds, Japan bonds, US cash) and find a good tracking vehicle for each asset class (best vehicles are ETFs or index funds). Momentum ranking is done on price series. Valuation ranking is done on adjusted yield measure for each asset class. E/P (Earning/Price) measure is used for stocks, and YTM (Yield-to-maturity) is used for bonds. US, Japan, and Germany treasury yield are adjusted by -1%, US investment-grade bonds are adjusted by -2%, US High yield bonds are adjusted by -6%, emerging markets equities are adjusted by -1%, and US REITs are adjusted by -2% to get unbiased structural yields for each asset class. Rank each asset class by 12-month momentum, 1-month momentum, and by valuation and weight all three strategies (25% weight to 12m momentum, 25% weight to 1-month momentum, 50% weight to value strategy). Go long top quartile portfolio and go short bottom quartile portfolio.",0.228,24.60%
31,Market Seasonality Effect in World Equity Indexes,"Be invested in global equity markets during November – April period, stay in cash during May-October period (alternatively go long in stocks from countries from northern hemisphere during winter period and long in stocks from countries from southern hemisphere during summer period; alternatively go long in cyclical companies during winter period and short defensive stocks and switch positions during the summer period)",0.434,36.60%
33,Post-Earnings Announcement Effect,"The investment universe consists of all stocks from NYSE, AMEX, and NASDAQ except financial and utility firms and stocks with prices less than $5. Two factors are used: EAR (Earnings Announcement Return) and SUE (Standardized Unexpected Earnings). SUE is constructed by dividing the earnings surprise (calculated as actual earnings minus expected earnings; expected earnings are computed using a seasonal random walk model with drift) by the standard deviation of earnings surprises. EAR is the abnormal return for firms recorded over a three-day window centered on the last announcement date, in excess of the return of a portfolio of firms with similar risk exposures.
Stocks are sorted into quintiles based on the EAR and SUE. To avoid look-ahead bias, data from the previous quarter are used to sort stocks. Stocks are weighted equally in each quintile. The investor goes long stocks from the intersection of top SUE and EAR quintiles and goes short stocks from the intersection of the bottom SUE and EAR quintiles the second day after the actual earnings announcement and holds the portfolio one quarter (or 60 working days). The portfolio is rebalanced every quarter.",0.059,39.50%
